Goodwill Industries of Greater Detroit,http://www.goodwilldetroit.org,<li><a target="_blank" href="http://www.goodwilldetroit.org">Goodwill Industries of Greater Detroit</a></li>
Greektown Casino-Hotel,http://www.greektowncasino.com,<li><a target="_blank" href="http://www.greektowncasino.com">Greektown Casino-Hotel</a></li>
Hamilton Anderson Associates, Inc.,http://www.hamilton-anderson.com,<li><a target="_blank" href="http://www.hamilton-anderson.com">Hamilton Anderson Associates, Inc.</a></li>
HDC Partners, LLC,http://www.thebuhl.com,<li><a target="_blank" href="http://www.thebuhl.com">HDC Partners, LLC</a></li>
Henry Ford Health Systems,http://www.henryford.com,<li><a target="_blank" href="http://www.henryford.com">Henry Ford Health Systems</a></li>
Henry the Hatter, Inc.,https://www.henrythehatterdetroit.com,<li><a target="_blank" href="https://www.henrythehatterdetroit.com">Henry the Hatter, Inc.</a></li>
HNTB Corporation,http://www.hntb.com,<li><a target="_blank" href="http://www.hntb.com">HNTB Corporation</a></li>
Honigman Miller Schwartz and Cohn LLP,http://www.honigman.com,<li><a target="_blank" href="http://www.honigman.com">Honigman Miller Schwartz and Cohn LLP</a></li>
Hudson-Webber Foundation,http://www.hudson-webber.org,<li><a target="_blank" href="http://www.hudson-webber.org">Hudson-Webber Foundation</a></li>
Ilitch Holdings, Inc.,http://www.ilitchholdings.com,<li><a target="_blank" href="http://www.ilitchholdings.com">Ilitch Holdings, Inc.</a></li>
Invest Detroit,http://www.investdetroit.com,<li><a target="_blank" href="http://www.investdetroit.com">Invest Detroit</a></li>
Jackson Lewis,,<li>Jackson Lewis</li>
Jefferson East Business Association,http://www.jeffersoneast.org,<li><a target="_blank" href="http://www.jeffersoneast.org">Jefferson East Business Association</a></li>
Jones Lang LaSalle,http://www.us.am.joneslanglasalle.com/unitedstates/en-us/Pages/Home.aspx,<li><a target="_blank" href="http://www.us.am.joneslanglasalle.com/unitedstates/en-us/Pages/Home.aspx">Jones Lang LaSalle</a></li>
Kughn Enterprises,http://www.kughnenterprises.com,<li><a target="_blank" href="http://www.kughnenterprises.com">Kughn Enterprises</a></li>
Larson Realty Group,http://www.larsonrg.com,<li><a target="_blank" href="http://www.larsonrg.com">Larson Realty Group</a></li>
LeClerc Display Company,http://www.leclercdisplay.com,<li><a target="_blank" href="http://www.leclercdisplay.com">LeClerc Display Company</a></li>
Lewis Munday, PC,http://www.lewismunday.com,<li><a target="_blank" href="http://www.lewismunday.com">Lewis Munday, PC</a></li>
LovioGeorge Inc.,http://www.loviogeorge.com,<li><a target="_blank" href="http://www.loviogeorge.com">LovioGeorge Inc.</a></li>
Mariners' Church,http://marinerschurchofdetroit.org,<li><a target="_blank" href="http://marinerschurchofdetroit.org">Mariners' Church</a></li>
Mariners' Inn,http://www.marinersinn.org,<li><a target="_blank" href="http://www.marinersinn.org">Mariners' Inn</a></li>
MARSH,https://online.marsh.com/marshconnectpublic/marsh2/public/client_desktop_public,<li><a target="_blank" href="https://online.marsh.com/marshconnectpublic/marsh2/public/client_desktop_public">MARSH</a></li>
Matrix Human Services,http://www.matrixhumanservices.org,<li><a target="_blank" href="http://www.matrixhumanservices.org">Matrix Human Services</a></li>
MGM Grand Detroit,http://www.mgmgranddetroit.com,<li><a target="_blank" href="http://www.mgmgranddetroit.com">MGM Grand Detroit</a></li>
Michigan Auto Law,http://www.michiganautolaw.com/firm_profile/attorney-locations/detroit-lawyers.php,<li><a target="_blank" href="http://www.michiganautolaw.com/firm_profile/attorney-locations/detroit-lawyers.php">Michigan Auto Law</a></li>
Michigan Humane Society,http://www.michiganhumane.org/,<li><a target="_blank" href="http://www.michiganhumane.org/">Michigan Humane Society</a></li>
Midtown Detroit, Inc.,http://midtowndetroitinc.org,<li><a target="_blank" href="http://midtowndetroitinc.org">Midtown Detroit, Inc.</a></li>
Miller Canfield,http://www.millercanfield.com,<li><a target="_blank" href="http://www.millercanfield.com">Miller Canfield</a></li>
Millerstone Realty Services, Inc.,http://www.milestonerealtyservices.com/pages/pro_residential_land.asp,<li><a target="_blank" href="http://www.milestonerealtyservices.com/pages/pro_residential_land.asp">Millerstone Realty Services, Inc.</a></li>
MotorCity Casino Hotel,http://www.motorcitycasino.com/Home,<li><a target="_blank" href="http://www.motorcitycasino.com/Home">MotorCity Casino Hotel</a></li>
Nextek Power Systems,http://www.nextekpower.com,<li><a target="_blank" href="http://www.nextekpower.com">Nextek Power Systems</a></li>
NextEnergy,http://www.nextenergy.org,<li><a target="_blank" href="http://www.nextenergy.org">NextEnergy</a></li>
North American International Auto Show,http://www.naias.com,<li><a target="_blank" href="http://www.naias.com">North American International Auto Show</a></li>
NTH Consultants, Ltd.,http://www.nthconsultants.com,<li><a target="_blank" href="http://www.nthconsultants.com">NTH Consultants, Ltd.</a></li>
Opus One,http://www.opus-one.com,<li><a target="_blank" href="http://www.opus-one.com">Opus One</a></li>
Penske Corporation,http://www.penske.com,<li><a target="_blank" href="http://www.penske.com">Penske Corporation</a></li>
Pewabic Pottery,http://www.pewabic.org,<li><a target="_blank" href="http://www.pewabic.org">Pewabic Pottery</a></li>
Piedmont Office Realty Trust,http://www.piedmontreit.com,<li><a target="_blank" href="http://www.piedmontreit.com">Piedmont Office Realty Trust</a></li>
PriceWaterhouseCoopers, LLP,http://www.pwc.com/us/en/index.jhtml,<li><a target="_blank" href="http://www.pwc.com/us/en/index.jhtml">PriceWaterhouseCoopers, LLP</a></li>
Prime Parking, LLC,http://www.primeparking.net,<li><a target="_blank" href="http://www.primeparking.net">Prime Parking, LLC</a></li>
PVS Chemicals, Inc.,http://www.pvschemicals.com,<li><a target="_blank" href="http://www.pvschemicals.com">PVS Chemicals, Inc.</a></li>
Quicken Loans,http://www.quickenloans.com,<li><a target="_blank" href="http://www.quickenloans.com">Quicken Loans</a></li>
RAM Real Estate,http://www.ramrealestate.com,<li><a target="_blank" href="http://www.ramrealestate.com">RAM Real Estate</a></li>
REDICO,http://www.redico.com,<li><a target="_blank" href="http://www.redico.com">REDICO</a></li>
Rivertown Detroit Association,http://www.rivertowndetroit.pro,<li><a target="_blank" href="http://www.rivertowndetroit.pro">Rivertown Detroit Association</a></li>
Rush Trucking,http://www.rushtrucking.com,<li><a target="_blank" href="http://www.rushtrucking.com">Rush Trucking</a></li>
